band,max,rms,factor
0,3.59089,0.11159578,8.960913
1,0.76868856,0.023595598,42.380787
2,0.48773935,0.011218898,89.135315
3,0.2840675,0.00640254,156.18802
4,0.4302099,0.0053836317,185.74821
5,0.6768402,0.005767951,173.3718
6,0.17991583,0.0037525424,266.486
7,0.19467631,0.0030852533,324.1225
8,0.29315698,0.0028932374,345.63358
9,0.28886148,0.0025747796,388.38275
10,0.18770754,0.002228905,448.6508
11,0.08031509,0.001905061,524.9176
12,0.08833453,0.0018069511,553.4184
13,0.059169684,0.0017141138,583.39185
14,0.057749618,0.001653081,604.931
15,0.068102844,0.0016437488,608.3655
